id,brewery_id,name,name_kana,name_en,status,confidence,source_id,evidence
1,1,麗人,,,draft,0.9,kumiai_nagano,
2,2,本金,,,draft,0.9,kumiai_nagano,
3,3,横笛,,,draft,0.9,kumiai_nagano,
4,4,真澄,,,draft,0.9,kumiai_nagano,
5,5,高天,,,draft,0.9,kumiai_nagano,
6,6,神渡,,,draft,0.9,kumiai_nagano,
7,7,御湖鶴,,,draft,0.9,kumiai_nagano,
8,8,ダイヤ菊,,,draft,0.9,kumiai_nagano,
9,9,舞姫,,,draft,0.9,kumiai_nagano,
10,10,勢正宗,,,draft,0.9,kumiai_nagano,
11,11,岩清水,,,draft,0.9,kumiai_nagano,
12,12,縁喜,,,draft,0.9,kumiai_nagano,
13,13,雲山,,,draft,0.85,kumiai_nagano,
14,14,水尾,,,draft,0.9,kumiai_nagano,
15,15,北光正宗,,,draft,0.9,kumiai_nagano,
16,16,志賀泉,,,draft,0.9,kumiai_nagano,
17,17,金蘭黒部,,,draft,0.9,kumiai_nagano,
18,18,白馬錦,,,draft,0.9,kumiai_nagano,
19,19,いいずら,,,draft,0.9,kumiai_nagano,
20,20,大雪渓,,,draft,0.9,kumiai_nagano,
21,21,北アルプス,,,draft,0.9,kumiai_nagano,
22,22,若緑,,,draft,0.9,kumiai_nagano,
23,23,松尾,,,draft,0.9,kumiai_nagano,
24,24,本老の松,,,draft,0.9,kumiai_nagano,
25,25,桂正宗,,,draft,0.9,kumiai_nagano,
26,26,オバステ正宗,,,draft,0.9,kumiai_nagano,
27,27,信濃光,,,draft,0.9,kumiai_nagano,
28,28,十九,,,draft,0.9,kumiai_nagano,
29,29,スクウェア・ワン,,,draft,0.9,kumiai_nagano,
30,30,北信流,,,draft,0.9,kumiai_nagano,
31,31,米川,,,draft,0.9,kumiai_nagano,
32,32,雲山,,,draft,0.9,kumiai_nagano,
33,33,雲山,,,draft,0.9,kumiai_nagano,
34,34,渓流,,,draft,0.9,kumiai_nagano,
35,35,天法,,,draft,0.9,kumiai_nagano,
36,36,喜久水,,,draft,0.9,kumiai_nagano,
37,37,浅間嶽,,,draft,0.9,kumiai_nagano,
38,38,千曲錦,,,draft,0.9,kumiai_nagano,
39,39,寒竹,,,draft,0.9,kumiai_nagano,
40,40,深山桜,,,draft,0.9,kumiai_nagano,
41,41,御園竹,,,draft,0.9,kumiai_nagano,
42,42,信濃のかたりべ,,,draft,0.9,kumiai_nagano,
43,43,亀の海,,,draft,0.9,kumiai_nagano,
44,44,金宝芙蓉,,,draft,0.9,kumiai_nagano,
45,45,澤乃花,,,draft,0.9,kumiai_nagano,
46,46,初鶯,,,draft,0.9,kumiai_nagano,
47,47,菊秀,,,draft,0.9,kumiai_nagano,
48,48,佐久の花,,,draft,0.9,kumiai_nagano,
49,49,井筒長,,,draft,0.9,kumiai_nagano,
50,50,金宝芙蓉,,,draft,0.9,kumiai_nagano,
51,51,深志鶴,,,draft,0.85,kumiai_nagano,
52,52,善哉,,,draft,0.85,kumiai_nagano,
53,53,岩波,,,draft,0.9,kumiai_nagano,
54,54,笹の誉,,,draft,0.9,kumiai_nagano,
55,55,大信州,,,draft,0.9,kumiai_nagano,
56,56,アルプス正宗,,,draft,0.9,kumiai_nagano,
57,57,高波,,,draft,0.9,kumiai_nagano,
58,58,和饗,,,draft,0.9,kumiai_nagano,
59,59,美寿々,,,draft,0.9,kumiai_nagano,
60,60,酔園幻の酒,,,draft,0.9,kumiai_nagano,
61,61,夜明け前,,,draft,0.9,kumiai_nagano,
62,62,岸の松,,,draft,0.85,kumiai_nagano,
63,63,井の頭,,,draft,0.9,kumiai_nagano,
64,64,信濃錦,,,draft,0.9,kumiai_nagano,
65,65,仙醸,,,draft,0.9,kumiai_nagano,
66,66,信濃鶴,,,draft,0.85,kumiai_nagano,
67,67,今錦,,,draft,0.9,kumiai_nagano,
68,68,木曽路,,,draft,0.9,kumiai_nagano,
69,69,七笑,,,draft,0.9,kumiai_nagano,
70,70,中乗さん,,,draft,0.9,kumiai_nagano,
71,71,木曽のかけはし,,,draft,0.85,kumiai_nagano,
72,72,信州亀齢,,,draft,0.9,kumiai_nagano,
73,73,福無量,,,draft,0.9,kumiai_nagano,
74,74,月吉野,,,draft,0.9,kumiai_nagano,
75,75,和田龍,,,draft,0.9,kumiai_nagano,
76,76,真田六文銭,,,draft,0.9,kumiai_nagano,
77,77,喜久盛,,,draft,0.9,kumiai_nagano,
155,210,越後美人,,,draft,0.9,kumiai_niigata_detail,
156,211,特別本醸造 八海山,,,draft,0.95,kumiai_niigata_detail,
157,212,上撰黒松 能鷹,,,draft,0.95,kumiai_niigata_detail,
158,213,つなん,,,draft,0.95,kumiai_niigata_detail,
159,214,萬寿鏡,,,draft,0.95,kumiai_niigata_detail,
160,214,蔵之主,,,draft,0.95,kumiai_niigata_detail,
161,214,甕覗,,,draft,0.95,kumiai_niigata_detail,
162,215,加茂錦,,,draft,0.95,kumiai_niigata_detail,
163,216,上善如水 純米吟醸,,,draft,0.95,kumiai_niigata_detail,
164,217,スキー正宗,,,draft,0.9,kumiai_niigata_detail,
165,218,大吟醸越後桜,,,draft,0.95,kumiai_niigata_detail,
166,219,根知男山,,,draft,0.95,kumiai_niigata_detail,
167,220,大吟醸 美禄長者盛,,,draft,0.95,kumiai_niigata_detail,
168,221,松乃井,,,draft,0.95,kumiai_niigata_detail,
