id,name,url,fetched_at,raw_path,license_note
kumiai_nagano,長野県酒造組合 蔵元紹介（10エリア）,https://www.nagano-sake.or.jp/intro/,2026-07-05T08:00:21.297393+00:00,data/raw/kumiai_nagano,サンドボックスのegress制限によりweb_fetchツールで取得（01_fetch.py相当）。出典明記・事実情報のみ抽出。
kumiai_niigata_list,新潟県酒造組合 蔵元紹介（一覧8ページ）,https://www.niigata-sake.or.jp/kuramoto/,2026-07-05T09:52:05.489122+00:00,C:\Users\hitos\Claude-Playground\sakelia-pipeline\data\raw\kumiai_niigata_list,
kumiai_fukushima_list,ふくしまの酒 酒蔵マップ（福島県公式・一覧）,https://www.fukunosake.com/sakagura-sake/,2026-07-05T09:52:28.706327+00:00,C:\Users\hitos\Claude-Playground\sakelia-pipeline\data\raw\kumiai_fukushima_list,
kumiai_niigata_detail,新潟県酒造組合 蔵元紹介（個別詳細92蔵）,https://www.niigata-sake.or.jp/kuramoto/abe,2026-07-05T09:52:26.667041+00:00,C:\Users\hitos\Claude-Playground\sakelia-pipeline\data\raw\kumiai_niigata_detail,
kumiai_fukushima_detail,ふくしまの酒 酒蔵マップ（福島県公式・個別詳細55蔵）,https://www.fukunosake.com/sakagura-sake/aizu,2026-07-05T09:52:33.146794+00:00,C:\Users\hitos\Claude-Playground\sakelia-pipeline\data\raw\kumiai_fukushima_detail,
shinshu_kanpyokai_r6,全国新酒鑑評会 令和6酒造年度 入賞酒一覧（酒類総合研究所）,https://www.nrib.go.jp/data/kan/shinshu/award/pdf/r06by_moku.pdf,2026-07-05T10:15:54.075660+00:00,C:\Users\hitos\Claude-Playground\sakelia-pipeline\data\raw\shinshu_kanpyokai_r6,
brewery_official_sites_pilot,蔵元公式サイト 商品スペック小規模パイロット（10蔵）,https://www.hakkaisan.co.jp/sake/honjyozo/,2026-07-05T10:48:56.325195+00:00,N/A (WebFetch経由、生HTML未保存),WebFetchによるAI要約抽出のため確信度は低め設定。詳細はsources.yaml note参照。
kumiai_hyogo_detail,兵庫県酒造組合連合会 地域別蔵元紹介ページ（9地域）,https://hyogo-sake.or.jp/introduction/yashiro.html,2026-07-05T11:15:07.430943+00:00,C:\Users\hitos\Claude-Playground\sakelia-pipeline\data\raw\kumiai_hyogo_detail,
kumiai_akita_detail,秋田県酒造協同組合 秋田蔵元マップ（個別詳細33蔵）,https://osake.or.jp/brewers01/,2026-07-05T11:15:21.927486+00:00,C:\Users\hitos\Claude-Playground\sakelia-pipeline\data\raw\kumiai_akita_detail,
kumiai_yamagata_detail,山形県酒造組合 蔵元詳細ページ（個別46蔵）,https://yamagata-sake.or.jp/pages/25/,2026-07-05T11:16:57.760696+00:00,C:\Users\hitos\Claude-Playground\sakelia-pipeline\data\raw\kumiai_yamagata_detail,
kumiai_kyoto_detail,京都府酒造組合連合会 京の酒蔵元 一覧（府内6地区・全40件）,https://kyoto-sake.sakura.ne.jp/ichiran.html,2026-07-05T11:40:49.625102+00:00,C:\Users\hitos\Claude-Playground\sakelia-pipeline\data\raw\kumiai_kyoto_detail,
kumiai_fukuoka_detail,福岡県酒造組合 蔵元マップ 個別詳細ページ（65蔵）,http://www.fukuoka-sake.org/map/detail.php?ID=3,2026-07-05T11:41:46.739389+00:00,C:\Users\hitos\Claude-Playground\sakelia-pipeline\data\raw\kumiai_fukuoka_detail,
kumiai_aichi_detail,愛知県酒造組合 蔵元紹介（名古屋・尾張・知多・三河 4地区・全37蔵）,https://www.aichi-sake.or.jp/sake/sake-nagoya/,2026-07-05T12:00:41.561918+00:00,C:\Users\hitos\Claude-Playground\sakelia-pipeline\data\raw\kumiai_aichi_detail,
